Site_number,Site_name,Elevation,Slope,Slope_aspect,Land_use,Vegetation,Vegetation_height,Plant_coverage,Geology_GUEK300,Sand_10cm,Silt_10cm,Clay_10cm,Sand_30cm,Silt_30cm,Clay_30cm,Sand_50cm,Silt_50cm,Clay_50cm,Bulk_density_10cm,Bulk_density_30cm,Bulk_density_50cm,Stone_content_10cm,Stone_content_30cm,MP_density_2mm_10cm,MP_density_2mm_30cm,MP_density_5mm_10cm,MP_density_5mm_30cm,SOM_10cm,SOM_30cm,SOM_50cm,Total_porosity_10cm,Total_porosity_30cm,Total_porosity_50cm,lon,lat
1,Schoenberg,371,12,135,pasture,pasture,0.15,100,Middle Keuper,22.9,32.1,45.1,12.0,48.6,39.3,9.7,49.9,40.4,1.34,1.55,1.48,5,0,32,24,24,16,4.1,2.0,0.7,49.7,42.3,45.9,7.819822,47.953115
2,Wildtal,278,18,135,pasture,pasture,0.1,100,Gneiss,7.7,70.9,21.4,3.2,78.8,18.0,4.4,52.4,43.2,1.35,1.69,1.66,0,0,120,40,52,28,4.7,1.1,,47.4,37.1,38.0,7.885157,48.037743
3,Freiburg,303,16,315,pasture,pasture,0.1,90,Middle Red Sandstone,46.0,39.5,14.6,44.9,33.6,21.5,16.4,60.5,23.0,1.40,1.64,1.66,0,5,60,56,28,28,3.1,2.1,4.0,47.3,37.6,37.8,7.835794,47.976959
4,Freiburg,299,16,270,arable land,mustard (green manure),0.15,40,Middle Red Sandstone,28.7,41.4,30.0,29.4,39.6,30.9,37.2,25.4,37.4,1.42,1.56,1.69,0,0,0,0,8,8,2.5,0.8,,46.3,40.4,36.8,7.835404,47.976460
5,Freiamt,431,14,315,arable land,triticale (recently seeded),0,0,Lower Shell Limestone,7.7,73.7,18.6,6.7,83.1,10.2,7.6,50.4,41.9,1.34,1.41,1.60,0,10,16,16,8,12,4.0,3.0,1.5,48.4,45.0,41.0,7.910890,48.182077
6,Freiamt,430,21,315,pasture,pasture,0.05,100,Lower Shell Limestone,4.9,71.3,23.8,5.0,52.7,42.3,4.1,43.9,52.0,1.27,1.49,1.52,0,25,32,28,12,12,3.7,1.8,2.2,50.5,43.5,43.9,7.910264,48.181774
7,Opfingen,228,14,315,arable land,winter barley,0.3,80,Loess and Loam,10.4,75.4,14.2,6.8,48.5,44.7,21.7,67.9,10.5,1.32,1.62,1.48,5,5,40,24,4,12,1.9,0.6,7.4,51.2,38.6,42.1,7.708751,48.002016
8,Seelbach,245,16,135,arable land,corn (recently seeded),0.05,15,Middle Red Sandstone,52.6,33.6,13.8,52.4,25.9,21.8,50.3,27.5,22.2,1.30,1.61,1.71,5,5,88,8,16,0,2.7,2.3,2.9,50.1,37.8,33.9,7.912452,48.295031
9,Seelbach,249,21,135,pasture,pasture,0.1,100,Middle Red Sandstone,57.5,28.7,13.8,47.0,38.3,14.8,43.7,40.2,16.1,1.63,1.75,1.78,10,15,28,4,4,0,3.8,2.1,,37.1,34.2,32.7,7.912113,48.295109
10,Sankt Maergen,850,32,225,pasture,pasture,0.15,100,Diatexite,48.9,23.9,27.2,52.9,8.8,38.4,51.3,10.5,38.2,1.02,1.00,0.92,15,10,,,,,15.8,2.7,3.4,60.6,62.2,64.8,8.095760,48.002836
11,Wehingen,795,18,45,pasture,pasture,0.1,80,Brown Jurassic,18.1,41.3,40.6,17.9,36.0,46.1,20.2,43.5,36.2,1.21,1.37,1.59,5,10,24,20,0,0,12.8,4.9,3.5,54.7,49.8,40.2,8.784896,48.154839
12,Gosheim,868,19,135,pasture,pasture,0.15,100,Brown Jurassic,4.7,42.9,52.4,4.9,42.9,52.2,5.7,48.2,46.1,1.08,1.61,,15,30,32,4,,,4.4,6.0,2.3,59.1,40.6,,8.757268,48.148092
