soilloss,endinfil,duration,cumq,rough,bulk,corg,cSa,mSa,fSa,cSi,mSi,fSi,slope,plotwidth,plotlength,BBCH,crop,treat,cover,moist,runtype,project,No,plot,bulk.run,CLAY,SILT,SAND,KA5class,KA5main,D,SigP,crop_original,lat,lon
NA,0.45,3600,0.2383,0.044,1380,1.3,1,1,4,51,19,6,17.4,2,22,0,fallow,Inv,0,28,1,BEMP,1,6,1410,18,76,6,Ut4,U,0.0180311396253281,4.99463048856686,fallow,,
3.285,0.46,3600,0.2052,0.013,1480,1,4,17,17,27,20,4,6,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,31,2,BEMP,10,10,1480,11,51,38,Uls,U,0.0734026055677395,9.82485382719618,winter barley,,
2.898,0.36,2460,0.4815,0.0082,1320,1.8,21,16,12,13,17,10,8.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,31.5,2,BEMP,100,58,1330,11,40,49,"Sl3, Slu",S,0.1099623552345,10.8941148722728,winter wheat,12.62463,50.73815
0.003,0.62,3660,0.0026,0.0365,1350,1.8,21,16,12,13,17,10,7.4,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,27,1,BEMP,101,59,1380,11,40,49,"Sl3, Slu",S,0.1099623552345,10.8941148722728,winter barley,12.62463,50.73815
0.235,0.56,4260,0.1085,0.0365,1350,1.8,21,16,12,13,17,10,7.4,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,26.5,2,BEMP,102,59,1320,11,40,49,"Sl3, Slu",S,0.1099623552345,10.8941148722728,winter barley,12.62463,50.73815
NA,0.61,3600,0,0.1402,1370,1.8,21,16,12,13,17,10,9.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,80,24.3,1,BEMP,103,60,1340,11,40,49,"Sl3, Slu",S,0.1099623552345,10.8941148722728,winter wheat,12.62463,50.73815
0.043,0.65,3060,0.1057,0.1402,1370,1.8,21,16,12,13,17,10,9.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,80,27.6,2,BEMP,104,60,1400,11,40,49,"Sl3, Slu",S,0.1099623552345,10.8941148722728,winter wheat,12.62463,50.73815
1.241,0.44,3600,0.053,0.0157,1280,1.2,7,26,18,22,15,7,10.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,24.7,1,BEMP,105,61,1240,5,44,51,Su4,S,0.143898890181014,8.31979827896607,winter wheat,13.98267,51.18038
14.113,0.27,3060,0.5003,0.0157,1280,1.2,7,26,18,22,15,7,10.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,37.9,2,BEMP,106,61,1330,5,44,51,Su4,S,0.143898890181014,8.31979827896607,winter wheat,13.98267,51.18038
0.005,0.57,3660,0.003,0.0245,1290,1.2,7,26,18,22,15,7,10.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,23.9,1,BEMP,107,62,1190,5,44,51,Su4,S,0.143898890181014,8.31979827896607,winter wheat,13.98267,51.18038
1.02,0.5,4260,0.1452,0.0245,1290,1.2,7,26,18,22,15,7,10.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,34.9,2,BEMP,108,62,1390,5,44,51,Su4,S,0.143898890181014,8.31979827896607,winter wheat,13.98267,51.18038
0.007,0.47,3660,0.0026,0.0332,1440,1.2,7,26,18,22,15,7,11.5,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,29.6,1,BEMP,109,63,1410,5,44,51,Su4,S,0.143898890181014,8.31979827896607,winter wheat,13.98267,51.18038
2.852,0.69,4200,0.855,0.015,1490,0.8,2,44,30,13,4,2,6.5,2,22,17,"canola, field bean, phacelia",Inv,70,18,1,BEMP,11,11,1490,5,19,76,"Su2, Sl2",S,0.360574553013339,7.16285980780977,canola,,
0.894,0.54,3960,0.1129,0.0332,1440,1.2,7,26,18,22,15,7,11.5,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,10,33.5,2,BEMP,110,63,1470,5,44,51,Su4,S,0.143898890181014,8.31979827896607,winter wheat,13.98267,51.18038
1.4,0.39,3660,0.2231,0.0352,1350,1,1,11,8,35,27,10,7.4,2,22,0,fallow,NoInv,35,34.1,1,BEMP,111,64,1430,8,72,20,"Us, Ut2",U,0.0417758777524568,6.19239015448393,fallow,13.97717,51.17045
5.255,0.01,3300,1.1764,0.0561,1350,1,1,11,8,35,27,10,7.4,2,22,0,fallow,NoInv,35,41.5,2,BEMP,112,64,1270,8,72,20,"Us, Ut2",U,0.0417758777524568,6.19239015448393,fallow,13.97717,51.17045
NA,0.62,3600,0,0.0241,1400,1,1,11,8,35,27,10,7.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,0,31.1,1,BEMP,113,65,1360,8,72,20,"Us, Ut2",U,0.0417758777524568,6.19239015448393,winter wheat,13.97717,51.17045
2.663,0.31,5460,0.3651,0.0241,1400,1,1,11,8,35,27,10,7.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",NoInv,0,38.9,2,BEMP,114,65,1440,8,72,20,"Us, Ut2",U,0.0417758777524568,6.19239015448393,winter wheat,13.97717,51.17045
0.031,0.54,3600,0.0068,0.0221,1480,1,1,11,8,35,27,10,7.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,32.2,1,BEMP,115,66,1500,8,72,20,"Us, Ut2",U,0.0417758777524568,6.19239015448393,winter wheat,13.97717,51.17045
16.226,0.11,4560,0.8138,0.0221,1480,1,1,11,8,35,27,10,7.2,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,35.7,2,BEMP,116,66,1450,8,72,20,"Us, Ut2",U,0.0417758777524568,6.19239015448393,winter wheat,13.97717,51.17045
0.32,0.54,5400,0.2605,0.011,1390,2.1,15,12,10,18,21,12,5.5,2,22,13,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,5,35,1,BEMP,12,12,1390,12,51,37,Uls,U,0.0684863841702124,10.0634680949413,winter barley,,
30.758,0.46,4080,0.9164,0.01,1280,1.8,15,12,10,17,25,11,8.8,2,22,0,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,25,1,BEMP,13,13,1280,10,53,37,Uls,U,0.0730976987223081,9.33200896610622,winter wheat,,
0.548,0.59,6180,0.4162,0.032,1260,1.8,15,12,10,17,25,11,8.8,2,22,17,"canola, field bean, phacelia",Inv,45,25,1,BEMP,14,14,1260,10,53,37,Uls,U,0.0730976987223081,9.33200896610622,canola,,
15.963,0.32,4200,1.0156,0.017,1230,1.7,8,8,6,34,26,10,8.5,2,22,99,maize,NoInv,7,27,1,BEMP,15,15,1190,8,70,22,"Us, Ut2",U,0.0449614795309563,6.5274169592141,maize,,
13.106,0.15,3120,1.0851,0.015,1230,1.7,8,8,6,34,26,10,8.5,2,22,99,maize,NoInv,7,39,2,BEMP,16,15,1270,8,70,22,"Us, Ut2",U,0.0449614795309563,6.5274169592141,maize,,
1.811,0.47,5520,0.1699,0.009,1240,1.6,6,6,6,30,24,13,7.2,2,22,12,"cereals (winter wheat, summer wheat, winter barley, summer barley, winter rye, oat)",Inv,0,27,1,BEMP,17,16,1170,15,67,18,Ut3,U,0.0309002817182449,7.37542749566129,winter rye,,
