No,time,runoffrate,sedconc,rainfall,plotwidth,plotlength,overflow
1,0,0,,0,2,22,false
1,420,0.000005,,0.0000106666666666667,2,22,false
1,480,0.0000095,,0.0000106666666666667,2,22,false
1,540,0.0000105,,0.0000106666666666667,2,22,false
1,600,0.000011,,0.0000106666666666667,2,22,false
1,660,0.000017,,0.0000106666666666667,2,22,false
1,720,0.0000235,,0.0000106666666666667,2,22,false
1,780,0.000024,,0.0000106666666666667,2,22,false
1,840,0.0000275,,0.0000106666666666667,2,22,false
1,900,0.000027,,0.0000106666666666667,2,22,false
1,960,0.00003,,0.0000106666666666667,2,22,false
1,1020,0.0000305,,0.0000106666666666667,2,22,false
1,1080,0.0000325,,0.0000106666666666667,2,22,false
1,1140,0.000031,,0.0000106666666666667,2,22,false
1,1200,0.000032,,0.0000106666666666667,2,22,false
1,1260,0.000034,,0.0000106666666666667,2,22,false
1,1320,0.000035,,0.0000106666666666667,2,22,false
1,1380,0.000036,,0.0000106666666666667,2,22,false
1,1440,0.0000335,,0.0000106666666666667,2,22,false
1,1500,0.00004,,0.0000106666666666667,2,22,false
1,1560,0.0000425,,0.0000106666666666667,2,22,false
1,1620,0.000042,,0.0000106666666666667,2,22,false
1,1680,0.00005,,0.0000106666666666667,2,22,false
1,1740,0.000052,,0.0000106666666666667,2,22,false
1,1800,0.000055,,0.0000106666666666667,2,22,false
1,1860,0.000053,,0.0000106666666666667,2,22,false
1,1920,0.000051,,0.0000106666666666667,2,22,false
1,1980,0.0000575,,0.0000106666666666667,2,22,false
1,2040,0.000059,,0.0000106666666666667,2,22,false
1,2100,0.000059,,0.0000106666666666667,2,22,false
1,2160,0.00006,,0.0000106666666666667,2,22,false
1,2220,0.0000625,,0.0000106666666666667,2,22,false
1,2280,0.000071,,0.0000106666666666667,2,22,false
1,2340,0.000068,,0.0000106666666666667,2,22,false
1,2400,0.000074,,0.0000106666666666667,2,22,false
1,2460,0.000082,,0.0000106666666666667,2,22,false
1,2520,0.000086,,0.0000106666666666667,2,22,false
1,2580,0.000078,,0.0000106666666666667,2,22,false
1,2640,0.000086,,0.0000106666666666667,2,22,false
1,2700,0.000097,,0.0000106666666666667,2,22,false
1,2760,0.000097,,0.0000106666666666667,2,22,false
1,2820,0.000101,,0.0000106666666666667,2,22,false
1,2880,0.000108,,0.0000106666666666667,2,22,false
1,2940,0.000107,,0.0000106666666666667,2,22,false
1,3000,0.00011,,0.0000106666666666667,2,22,false
1,3060,0.000119,,0.0000106666666666667,2,22,false
1,3120,0.000122,,0.0000106666666666667,2,22,false
